Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
 Na,949.2581,1,0.00083,4,2,5.058,3.753,8.18E-10,7.03E-10
 Na,413.584,1,0.000606,6,4,5.101,2.104,8.17E-10,7.07E-10
 Na,737.323,1,0.000542,4,2,4.872,3.191,7.97E-10,6.62E-10
 Na,259.393,1,0.000796,2,2,4.778,0,7.20E-10,5.85E-10
 Na,422.381,1,0.0014,2,4,5.039,2.104,7.19E-10,6.16E-10
 Na,413.082,1,0.000517,6,4,5.105,2.104,6.92E-10,5.99E-10
 Na,428.784,1,0.001171,2,2,4.993,2.102,6.63E-10,5.63E-10
 Na,254.382,1,0.000446,4,2,4.872,0,6.56E-10,5.44E-10
 Na,999.8443,1,0.00111,2,4,4.993,3.753,6.29E-10,5.34E-10
 Na,915.388,1,0.00035,6,6,4.971,3.617,6.24E-10,5.28E-10
 Na,424.2082,1,0.000554,4,4,5.026,2.104,5.84E-10,5.00E-10
 Na,711.30404,1,0.000443,4,2,4.934,3.191,5.70E-10,4.79E-10
 Na,420.216,1,0.00109,2,4,5.054,2.104,5.42E-10,4.65E-10
 Na,424.9412,1,0.0008634,2,2,5.019,2.102,4.62E-10,3.95E-10
 Na,979.1964,1,0.0008,2,4,5.019,3.753,4.29E-10,3.66E-10
 Na,421.613,1,0.00042,4,4,5.044,2.104,4.26E-10,3.66E-10
 Na,992.152,1,0.000383,4,4,5.003,3.753,4.25E-10,3.62E-10
 Na,418.509,1,0.00087,2,4,5.066,2.104,4.22E-10,3.63E-10
 Na,251.213407,1,0.00032,4,2,4.934,0,4.12E-10,3.46E-10
 Na,894.296,1,0.000247,6,6,5.003,3.617,4.11E-10,3.50E-10
 Na,737.349,1,0.00053,2,2,4.872,3.191,3.90E-10,3.24E-10
 Na,964.1889,1,0.00066,2,4,5.039,3.753,3.39E-10,2.90E-10
 Na,417.156,1,0.000703,2,4,5.076,2.104,3.34E-10,2.88E-10
 Na,419.598,1,0.000327,4,4,5.058,2.104,3.22E-10,2.77E-10
 Na,254.388,1,0.000435,2,2,4.872,0,3.20E-10,2.66E-10
 Na,999.2856,1,0.00056,2,2,4.993,3.753,3.17E-10,2.70E-10
 Na,973.6785,1,0.000281,4,4,5.026,3.753,2.96E-10,2.53E-10
 Na,952.909,1,0.00057,2,4,5.054,3.753,2.83E-10,2.43E-10
